URUN_REFNO|ADI|KATEGORI_REFNO|ALT_KATEGORI_REFNO|TEDARIKCI_REFNO|KDVSIZ_SATIS_FIYATI|KDVSIZ_ALIS_FIYATI|SATIS_KDV_ORANI|ALIS_KDV_ORANI|BARKODU|BIRIM1|BIRIM2|
64|PHILIPS 19" 109E MONITOR|1|1|2|215,38|0,0000|0|0|8692212121|ADET||
65|LG 17" T710BH FLAT|1|1|2|150,04|0,0000|0|0|8692212121|ADET||
66|PHILIPS 21" 201B|1|1|2|617,1|0,0000|0|0|8692212121|ADET||
67|KINGSTON 512 MB DDR333|1|1|2|91,652|0,0000|0|0|8692212121|ADET||
68|KINGSTON 512 MB DDR400|1|1|2|90,75|0,0000|0|0|8692212121|ADET||
69|INCA 1800 WATT 4+1|1|1|2|37,51|0,0000|0|0|8692212121|ADET||
70|QUAKE 200W|1|1|2|5,324|0,0000|0|0|8692212121|ADET||
71|LIFEVIEW 3000 TV+RADIO|1|1|2|33,88|0,0000|0|0|8692212121|ADET||
72|PHILIPS WEBCAM DMVC1300K WEB|1|1|2|151,25|0,0000|0|0|8692212121|ADET||
73|PHILIPS WEBCAM DNVC300K WEB|1|1|2|72,6|0,0000|0|0|8692212121|ADET||
74|LG 52X  CDROM|1|1|2|18,755|0,0000|0|0|8692212121|ADET||
75|SAMSUNG 52X  CDROM|1|1|2|18,15|0,0000|0|0|8692212121|ADET||
76|LG 52X32X52 IDE CDRW BULK|1|1|2|31,46|0,0000|0|0|8692212121|ADET||
77|LG 52X32X52X BULK SIYAH|1|1|2|32,67|0,0000|0|0|8692212121|ADET||
78|AOPEN 52X32X52 KAPAKLI CD YAZICI|1|1|2|28,435|0,0000|0|0|8692212121|ADET||
79|SAMSUNG 120GB 7200 RPM|1|1|2|90,75|0,0000|0|0|8692212121|ADET||
80|SAMSUNG 40GB 7200RPM|1|1|2|54,45|0,0000|0|0|8692212121|ADET||
81|SAMSUNG 80GB 7200RPM 8MB SATA|1|1|2|79,255|0,0000|0|0|8692212121|ADET||
82|MAXTOR 40 GB 7200 RPM U.ATA|1|1|2|55,055|0,0000|0|0|8692212121|ADET||
83|SAMSUNG 80GB 7200RPM|1|1|2|69,575|0,0000|0|0|8692212121|ADET||
84|A4 TECH WWW-35 CIFT SCROLL PS/2|1|1|2|3,63|0,0000|0|0|8692212121|ADET||
85|QUAKE INTERNET PS/2|1|1|2|1,815|0,0000|0|0|8692212121|ADET||
86|OEM 128 MB. SDRAM 100 MHZ|1|1|2|29,04|0,0000|0|0|8692212121|ADET||
87|OEM 256 MB. SDRAM 133 MHZ|1|1|2|37,51|0,0000|0|0|8692212121|ADET||
88|OEM 256 MB. DDR PC3200(400)|1|1|2|39,93|0,0000|0|0|8692212121|ADET||
89|KINGSTON 256 MB. DDR PC2700|1|1|2|48,4|0,0000|0|0|8692212121|ADET||
90|KINGSTON 256 MB. DDR PC3200|1|1|2|47,19|0,0000|0|0|8692212121|ADET||
91|OEM 512 MB. DDR PC3200|1|1|2|78,65|0,0000|0|0|8692212121|ADET||
92|MSI 6728 1865P NEO IS2R FSB800 PRESCOTT|1|1|2|79,86|0,0000|0|0|8692212121|ADET||
93|MSI 6787 P4 MAM-Y|1|1|2|50,82|0,0000|0|0|8692212121|ADET||
94|MSI 6570-K7N2 DELTA|1|1|2|66,55|0,0000|0|0|8692212121|ADET||
95|GIGABYTE 8S655FX-L|1|1|2|77,44|0,0000|0|0|8692212121|ADET||
96|ASUS A7N8X-VM|1|1|2|96,195|0,0000|0|0|8692212121|ADET||
97|OEM KASA FANI|1|1|2|2,42|0,0000|0|0|8692212121|ADET||
98|AOPEN H600B-B05|1|1|2|71,39|0,0000|0|0|8692212121|ADET||
